;epsilon;min_size;score;nb_clusters;var_portion
748;0.29000000000000004;4.0;-0.24174973930299284;6.0;0.9000000000000002
642;0.25000000000000006;5.0;-0.2502539126487289;6.0;0.8500000000000002
316;0.21000000000000002;3.0;0.02670377045256263;6.0;0.7000000000000001
311;0.2;5.0;-0.05402617321551823;6.0;0.7000000000000001
448;0.27;5.0;-0.03449729780829853;6.0;0.7500000000000001
454;0.28;4.0;-0.09515555662353771;6.0;0.7500000000000001
291;0.17000000000000004;6.0;-0.17425229803101172;6.0;0.7000000000000001
125;0.05;6.0;-0.20416851952931037;6.0;0.65
306;0.19;6.0;-0.10920909690978833;6.0;0.7000000000000001
662;0.28;5.0;-0.16716255518715156;6.0;0.8500000000000002
663;0.28;6.0;-0.21049830411155865;6.0;0.8500000000000002
564;0.27;5.0;-0.03449729780829853;6.0;0.8000000000000002
570;0.28;4.0;-0.09515555662353771;6.0;0.8000000000000002
